year,race,round,driver,team,grid,finish_position,points,status
2022,Bahrain Grand Prix,1,LEC,Ferrari,1.0,1.0,26.0,Finished
2022,Bahrain Grand Prix,1,SAI,Ferrari,3.0,2.0,18.0,Finished
2022,Bahrain Grand Prix,1,HAM,Mercedes,5.0,3.0,15.0,Finished
2022,Bahrain Grand Prix,1,RUS,Mercedes,9.0,4.0,12.0,Finished
2022,Bahrain Grand Prix,1,MAG,Haas F1 Team,7.0,5.0,10.0,Finished
2022,Bahrain Grand Prix,1,BOT,Alfa Romeo,6.0,6.0,8.0,Finished
2022,Bahrain Grand Prix,1,OCO,Alpine,11.0,7.0,6.0,Finished
2022,Bahrain Grand Prix,1,TSU,AlphaTauri,16.0,8.0,4.0,Finished
2022,Bahrain Grand Prix,1,ALO,Alpine,8.0,9.0,2.0,Finished
2022,Bahrain Grand Prix,1,ZHO,Alfa Romeo,15.0,10.0,1.0,Finished
2022,Bahrain Grand Prix,1,MSC,Haas F1 Team,12.0,11.0,0.0,Finished
2022,Bahrain Grand Prix,1,STR,Aston Martin,19.0,12.0,0.0,Finished
2022,Bahrain Grand Prix,1,ALB,Williams,14.0,13.0,0.0,Finished
2022,Bahrain Grand Prix,1,RIC,McLaren,18.0,14.0,0.0,Finished
2022,Bahrain Grand Prix,1,NOR,McLaren,13.0,15.0,0.0,Finished
2022,Bahrain Grand Prix,1,LAT,Williams,20.0,16.0,0.0,Finished
2022,Bahrain Grand Prix,1,HUL,Aston Martin,17.0,17.0,0.0,Finished
2022,Bahrain Grand Prix,1,PER,Red Bull Racing,4.0,18.0,0.0,Fuel pressure
2022,Bahrain Grand Prix,1,VER,Red Bull Racing,2.0,19.0,0.0,Fuel pressure
2022,Bahrain Grand Prix,1,GAS,AlphaTauri,10.0,20.0,0.0,Power Unit
2022,Saudi Arabian Grand Prix,2,VER,Red Bull Racing,4.0,1.0,25.0,Finished
2022,Saudi Arabian Grand Prix,2,LEC,Ferrari,2.0,2.0,19.0,Finished
2022,Saudi Arabian Grand Prix,2,SAI,Ferrari,3.0,3.0,15.0,Finished
2022,Saudi Arabian Grand Prix,2,PER,Red Bull Racing,1.0,4.0,12.0,Finished
2022,Saudi Arabian Grand Prix,2,RUS,Mercedes,6.0,5.0,10.0,Finished
2022,Saudi Arabian Grand Prix,2,OCO,Alpine,5.0,6.0,8.0,Finished
